StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Familiarity_1,Openness_1,Comfort_1,Study method_1,Study method_2,Study method_3,Study method_4,Study method_5,Study method_6,Study method_7,Study method_7_TEXT,Preference_1,Human vs AI_1,Criteria Professors_1,Criteria Professors_2,Criteria Professors_3,Criteria Professors_4,Criteria Professors_5,Criteria Professors_6,Criteria Professors_7,Criteria Professors_8,Criteria Professors_9,Criteria Professors_10,Criteria Professors_10_TEXT,Frequency_1,Frequency_2,Frequency_3,Frequency_4,Frequency_5,Frequency_6,Frequency_7,Frequency_7_TEXT,Likelihood_1,Likelihood_2,Likelihood_3,Likelihood_4,Likelihood_5,Concern_1,Inputs,Agreement options_1,Agreement options_2,Agreement options_3,Agreement options_4,Agreement options_5,Agreement options_6,Agreement options_7,Impact_1,Performance_1,Grade,Satisfaction_1,Comparison_1,Comparison_2,Comparison_3,Comparison_4,Comparison_5,Comparison_6,Comparison_7,Benefits_1,Benefits_2,Benefits_3,Benefits_4,Benefits_5,Benefits_6,Benefits_7,Benefits_8,Benefits_9,Benefits_10,Benefits_11,Benefits_11_TEXT,Concerns_1,Concerns_2,Concerns_3,Concerns_4,Concerns_5,Concerns_6,Concerns_7,Concerns_8,Concerns_9,Concerns_10,Concerns_11,Concerns_12,Concerns_12_TEXT,Age,Gender,Home country,Level of education,University,Academic field,Thoughts,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,How familiar are you with Generative Artificial Intelligence (GenAI) technologies like ChatGPT?,What is your overall attitude towards using technology in education?,How comfortable do you feel using digital tools for academic purposes?,"What is your study method?
Please, drag and drop the options to rank them according to your preference. - Highlighting","What is your study method?
Please, drag and drop the options to rank them according to your preference. - Summarizing","What is your study method?
Please, drag and drop the options to rank them according to your preference. - Mind mapping","What is your study method?
Please, drag and drop the options to rank them according to your preference. - Reading","What is your study method?
Please, drag and drop the options to rank them according to your preference. - Repeating","What is your study method?
Please, drag and drop the options to rank them according to your preference. - Group study","What is your study method?
Please, drag and drop the options to rank them according to your preference. - Other","What is your study method?
Please, drag and drop the options to rank them according to your preference. - Other - Text",Do you prefer learning in person or online?,What is your overall attitude towards human teachers compared to AI?,"What aspects do you consider important in a professor?
Please, drag and drop the options to rank them according to your preference. - Expertise and knowledge","What aspects do you consider important in a professor?
Please, drag and drop the options to rank them according to your preference. - Effective communication skills","What aspects do you consider important in a professor?
Please, drag and drop the options to rank them according to your preference. - Passion","What aspects do you consider important in a professor?
Please, drag and drop the options to rank them according to your preference. - Ethical conduct (integrity, honesty, respect)","What aspects do you consider important in a professor?
Please, drag and drop the options to rank them according to your preference. - Motivation","What aspects do you consider important in a professor?
Please, drag and drop the options to rank them according to your preference. - Precision","What aspects do you consider important in a professor?
Please, drag and drop the options to rank them according to your preference. - Charisma","What aspects do you consider important in a professor?
Please, drag and drop the options to rank them according to your preference. - Approachability and availability","What aspects do you consider important in a professor?
Please, drag and drop the options to rank them according to your preference. - Fairness","What aspects do you consider important in a professor?
Please, drag and drop the options to rank them according to your preference. - Other","What aspects do you consider important in a professor?
Please, drag and drop the options to rank them according to your preference. - Other - Text",How frequently do you use GenAI technologies like ChatGPT in your academic work for each of the following purposes? - Generating ideas,How frequently do you use GenAI technologies like ChatGPT in your academic work for each of the following purposes? - Clarifying concepts,How frequently do you use GenAI technologies like ChatGPT in your academic work for each of the following purposes? - Correcting minor details,How frequently do you use GenAI technologies like ChatGPT in your academic work for each of the following purposes? - Receiving feedbacks,How frequently do you use GenAI technologies like ChatGPT in your academic work for each of the following purposes? - Summarizing texts,How frequently do you use GenAI technologies like ChatGPT in your academic work for each of the following purposes? - Completing tasks entirely,How frequently do you use GenAI technologies like ChatGPT in your academic work for each of the following purposes? - Other,How frequently do you use GenAI technologies like ChatGPT in your academic work for each of the following purposes? - Other - Text,How likely are you to use the outputs provided by GenAI technologies like ChatGPT for academic purposes in the following ways? - I use outputs merely as inputs and then elaborate everything myself,How likely are you to use the outputs provided by GenAI technologies like ChatGPT for academic purposes in the following ways? - I carefully read the outputs and use only relevant information by rephrasing it,How likely are you to use the outputs provided by GenAI technologies like ChatGPT for academic purposes in the following ways? - I carefully read the outputs and use only relevant information WITHOUT rephrasing it,How likely are you to use the outputs provided by GenAI technologies like ChatGPT for academic purposes in the following ways? - I skim through the outputs and use everything if relevant,How likely are you to use the outputs provided by GenAI technologies like ChatGPT for academic purposes in the following ways? - I use the outputs without reading it,To what extent are you concerned about the privacy of your data while using GenAI technologies like ChatGPT?,"Please, think about your interactions with ChatGPT.
While using ChatGPT to complete a task, users can provide their input at the beginning, or write additional inputs based on the responses ChatGPT provides. On average, how many additional inputs do you provide, if any?",When I use ChatGPT... - I get more curios about the topics that I need to study,When I use ChatGPT... - I become more motivated to learn,When I use ChatGPT... - I feel more confident regarding the topics of study,When I use ChatGPT... - I feel more prepared for class,When I use ChatGPT... - I am more likely to explore additional resources and materials,When I use ChatGPT... - I find studying more enjoyable,When I use ChatGPT... - I am better able to retain information,How do you perceive the impact of GenAI technologies like ChatGPT on your academic experience?,Think about the grades received in your last academic year. How has GenAI technologies like ChatGPT impacted your academic performance in terms of grade?,"What is your average grade? (i.e., 27/30 or 3.8/4)",How satisfied would you be with lessons conducted solely by AI?,"Please, compare the performance of human professors and AI on the following items. - Quality of education","Please, compare the performance of human professors and AI on the following items. - Fairness in grading","Please, compare the performance of human professors and AI on the following items. - Accuracy in responding questions","Please, compare the performance of human professors and AI on the following items. - Enjoyment of the lecture","Please, compare the performance of human professors and AI on the following items. - Inspiration for the course topic","Please, compare the performance of human professors and AI on the following items. - Availability for consultation","Please, compare the performance of human professors and AI on the following items. - Usefulness of feedbacks","What potential benefits do you see in using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Personalizing learning experience","What potential benefits do you see in using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Accessing resources anytime, anywhere","What potential benefits do you see in using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Managing time better","What potential benefits do you see in using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Saving time","What potential benefits do you see in using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Maintaining anonymity","What potential benefits do you see in using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Receiving instant feedback","What potential benefits do you see in using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Enhancing understanding","What potential benefits do you see in using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Assisting with research","What potential benefits do you see in using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Improving digital skills","What potential benefits do you see in using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Saving money","What potential benefits do you see in using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Other","What potential benefits do you see in using ChatGPT for academic purposes? Please, select all that apply. - Other - Text","What potential concerns do you have about using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Accuracy and reliability","What potential concerns do you have about using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Bias, unfairness, and insensitivity","What potential concerns do you have about using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Limited contextual understanding","What potential concerns do you have about using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Privacy and data security","What potential concerns do you have about using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Ethical considerations (transparency, accountability, misuse)","What potential concerns do you have about using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Lack of human interaction and socialization","What potential concerns do you have about using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Lack of motivation","What potential concerns do you have about using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Reduction of university education value","What potential concerns do you have about using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Risk of inadequate or incomplete learning outcomes","What potential concerns do you have about using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Over-reliance on technology","What potential concerns do you have about using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Technical issues","What potential concerns do you have about using ChatGPT for academic purposes? Please, select all that apply. - Selected Choice - Other","What potential concerns do you have about using ChatGPT for academic purposes? Please, select all that apply. - Other - Text",How old are you?,How would you identify yourself?,"Where are you from? Please, specify your home country.",What level of education are you currently pursuing?,Where are you studying?,What is your academic field?,What are your thoughts on the future of education with the integration of Generative AI technologies?,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_7_TEXT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID14_9""}","{""ImportId"":""QID14_10""}","{""ImportId"":""QID14_10_TEXT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID15_7_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID19_6""}","{""ImportId"":""QID19_7""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID24_7""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID25"",""choiceId"":""5""}","{""ImportId"":""QID25"",""choiceId"":""6""}","{""ImportId"":""QID25"",""choiceId"":""7""}","{""ImportId"":""QID25"",""choiceId"":""8""}","{""ImportId"":""QID25"",""choiceId"":""9""}","{""ImportId"":""QID25"",""choiceId"":""10""}","{""ImportId"":""QID25"",""choiceId"":""11""}","{""ImportId"":""QID25_11_TEXT""}","{""ImportId"":""QID26"",""choiceId"":""1""}","{""ImportId"":""QID26"",""choiceId"":""2""}","{""ImportId"":""QID26"",""choiceId"":""3""}","{""ImportId"":""QID26"",""choiceId"":""4""}","{""ImportId"":""QID26"",""choiceId"":""5""}","{""ImportId"":""QID26"",""choiceId"":""6""}","{""ImportId"":""QID26"",""choiceId"":""7""}","{""ImportId"":""QID26"",""choiceId"":""8""}","{""ImportId"":""QID26"",""choiceId"":""9""}","{""ImportId"":""QID26"",""choiceId"":""10""}","{""ImportId"":""QID26"",""choiceId"":""11""}","{""ImportId"":""QID26"",""choiceId"":""12""}","{""ImportId"":""QID26_12_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""Q_AmbiguousTextPresent""}","{""ImportId"":""Q_AmbiguousTextQuestions""}","{""ImportId"":""Q_StraightliningCount""}","{""ImportId"":""Q_StraightliningPercentage""}","{""ImportId"":""Q_StraightliningQuestions""}","{""ImportId"":""Q_UnansweredPercentage""}","{""ImportId"":""Q_UnansweredQuestions""}"
2024-07-01 09:25:42,2024-07-01 10:14:40,IP Address,100,2937,True,2024-07-01 10:14:40,R_8TL5KyUekYXgw8A,anonymous,IT,1,50,75,75,2,3,4,1,5,6,7,,50,45,1,2,8,5,7,6,9,3,4,10,,50,50,50,25,,50,,,50,25,40,80,0,60,4,5,5,5,50,25,5,10,55,25,29,2,25,75,25,50,25,50,30,,"Accessing resources anytime, anywhere",Managing time better,Saving time,,,,Assisting with research,,,,,,,Limited contextual understanding,,,Lack of human interaction and socialization,Lack of motivation,Reduction of university education value,,Over-reliance on technology,,,,23-26,Female,Italia,Master's Degree,Other Italian university,Economic and Statistical Sciences,"Se integrata con giudizio, può diventare uno strumento utile per docenti e studenti ",0,,0,0,,0,
2024-07-01 10:09:13,2024-07-01 10:25:53,IP Address,100,1000,True,2024-07-01 10:25:54,R_8iL1LO6WligSYs2,anonymous,EN,1,85,90,90,1,4,6,3,2,5,7,,20,25,3,1,2,6,4,8,9,7,5,10,,70,60,80,80,65,75,0,,20,85,70,55,0,60,5,20,10,70,55,60,80,10,75,95,28.53/30,10,20,80,10,10,10,95,50,,"Accessing resources anytime, anywhere",Managing time better,Saving time,Maintaining anonymity,Receiving instant feedback,,Assisting with research,Improving digital skills,,,,Accuracy and reliability,"Bias, unfairness, and insensitivity",Limited contextual understanding,Privacy and data security,,Lack of human interaction and socialization,,Reduction of university education value,Risk of inadequate or incomplete learning outcomes,Over-reliance on technology,,,,23-26,Female,ITALY,Master's Degree,LUISS university,Mathematical and Computer Science," It is important to understand how to use it to prevent students from using it as a shortcut and thus ending up learning little or nothing. 
If used properly, it can truly be a powerful tool, perhaps by using it to learn basic concepts so that lectures with human professors can be used for debate and reflection, making them more engaging and useful, even from a professional perspective.",0,,0,0,,0,
2024-07-01 10:43:46,2024-07-01 10:54:59,IP Address,100,673,True,2024-07-01 10:55:00,R_8pgLr7rRK1oJDyG,anonymous,IT,1,60,100,100,2,3,6,1,4,5,7,,40,55,2,6,1,5,3,7,4,8,9,10,,67,90,70,60,90,89,48,,70,70,64,72,29,0,5,69,71,90,80,80,64,70,100,80,24,53,51,33,51,60,62,65,69,Personalizing learning experience,"Accessing resources anytime, anywhere",,Saving time,,Receiving instant feedback,,Assisting with research,,,,,,,Limited contextual understanding,Privacy and data security,"Ethical considerations (transparency, accountability, misuse)",,Lack of motivation,Reduction of university education value,Risk of inadequate or incomplete learning outcomes,,,,,23-26,Female,"Italia ",Bachelor's Degree,Other Italian university,Political and Social Sciences,"Penso che sarà uno strumento molto utilizzato, sempre di più da ogni tipo di età, e sicuramente questo non poterà a risultati concreti tra gli adolescenti ",0,,0,0,,0,
2024-07-01 10:28:20,2024-07-01 10:55:33,IP Address,100,1632,True,2024-07-01 10:55:33,R_8nTA2KfTva2Iefu,anonymous,IT,1,30,70,70,2,1,5,3,4,7,6,,20,20,1,2,3,6,5,9,8,4,7,10,,70,70,70,35,35,20,,,70,70,25,70,1,65,7,79,77,79,78,84,85,50,83,86,30,40,70,71,71,35,35,60,30,Personalizing learning experience,"Accessing resources anytime, anywhere",Managing time better,Saving time,Maintaining anonymity,Receiving instant feedback,,,,,,,Accuracy and reliability,"Bias, unfairness, and insensitivity",,Privacy and data security,,Lack of human interaction and socialization,Lack of motivation,Reduction of university education value,Risk of inadequate or incomplete learning outcomes,,,,,23-26,Male,"Italia ",Master's Degree,Other Italian university,Communication Sciences,"L’IA generativa è sicuramente uno strumento molto utile, ma sarà necessario trovare il giusto equilibrio tra l’utilizzo di tale tecnologia e i metodi di insegnamento tradizionali così da garantire il migliore processo di apprendimento agli studenti. L’eccessivo affidamento a tale tecnologia sarebbe dannoso.",0,,0,0,,0,
